step	time	T	Ekin	res	lj	bond_43	bond_128	bond_140_cross	bond_126	bond_131	bond_26	bond_136	bond_134	bond_143_cross	bond_138_cross	bond_124	bond_129	bond_127	bond_18_cross	bond_137_cross	bond_141_cross	bond_135	bond_2	bond_136_cross	bond_102	bond_125	bond_144_cross	bond_130	bond_142_cross	bond_139_cross	bond_146_cross	bond_133	bond_132	bond_145_cross
84	0.084	3.88836	37759.9	0	305.974	241.842	5.28997	0	57.8586	208.994	34.317	7.69911	66.081	122.807	13167.1	280.667	8901.01	3.52573	0	4353.72	2201.5	18.7064	1759.02	0	281.698	143.249	0	493.669	317.209	0	0	360.188	148.219	0
85	0.085	3.79844	36886.7	0	302.419	241.371	6.38088	0	56.9039	205.72	38.001	6.10453	64.0793	125.217	13576.1	302.524	9673.65	3.68855	0	4399.04	2218.76	13.8253	1139.4	0	91.0923	137.982	0	493.236	326.415	0	0	387.382	147.962	0
86	0.086	3.74065	36325.5	0	299.494	237.034	11.3788	0	59.5079	201.793	48.8545	7.39611	62.8411	127.518	13968.1	297.859	9786.09	4.18543	0	4440.41	2234.06	10.3101	966.49	0	50.8305	144.329	0	498.83	335.554	0	0	380.724	148.225	0
87	0.087	3.68341	35769.6	0	296.031	232.885	13.7045	0	64.9687	199.574	53.7982	10.9917	62.8663	129.942	14341.7	267.266	9225.39	3.23233	0	4477.58	2247.18	8.71011	1291.74	0	185.132	152.347	0	511.977	344.786	0	0	347.761	148.314	0
88	0.088	3.65895	35532.1	0	293.171	232.862	10.1896	0	72.4068	200.214	47.8392	15.8314	64.5206	132.236	14695.3	216.94	8088.01	2.57364	0	4510.47	2258.13	9.41983	2000.15	0	227.951	155.083	0	526.773	353.991	0	0	334.693	149.105	0
89	0.089	3.66383	35579.4	0	290.24	235.944	5.76342	0	80.1077	201.507	37.2014	21.4888	66.9924	134.526	15028.1	157.568	6559.05	2.98284	0	4539.03	2267.12	11.8437	2930.39	0	102.554	149.789	0	529.905	363.249	0	0	363.812	149.81	0
90	0.09	3.70243	35954.3	0	287.609	240.84	6.51869	0	86.5221	205.424	38.2008	26.8289	69.6319	136.774	15338	100.615	4880.39	4.4239	0	4563.46	2273.52	15.4531	3956.51	0	44.6776	141.806	0	526.661	372.845	0	0	407.233	151.112	0
91	0.091	3.70633	35992.2	0	284.823	246.823	10.9227	0	91.4372	208.776	48.6575	31.247	72.3139	139.027	15623.9	56.8798	3301.05	4.78134	0	4583.15	2277.9	19.5735	4977.01	0	174.31	144.882	0	531.909	382.337	0	0	420.023	154.335	0
92	0.092	3.69248	35857.7	0	280.981	252.747	12.724	0	94.529	210.14	57.6374	33.7379	74.6701	141.192	15885.3	33.6009	2027.5	4.06179	0	4598.18	2280.08	23.0763	5811.58	0	277.908	157.149	0	541.491	391.993	0	0	393.915	156.859	0
93	0.093	3.70391	35968.7	0	277.452	258.333	9.27981	0	96.1783	211.351	54.8482	33.558	76.6404	143.493	16121.4	35.0603	1204.23	2.94634	0	4609.15	2279.96	25.3181	6233.57	0	172.873	164.208	0	551.459	401.615	0	0	363.697	157.188	0
